t,altitude_km,speed_ms,mass
64.72000000000133,11.861022267369204,570.8762234084226,25906.57421875
65.78000000000112,12.288630834047334,587.9950460534143,25688.705078125
66.82000000000092,12.715235295985826,605.146795639641,25474.947265625
67.8800000000007,13.15714801438048,622.9972541537248,25257.080078125
68.9400000000005,13.606175956406048,641.2043887049543,25039.205078125
70.00000000000028,14.070857935191365,660.1567846040589,24817.2265625
71.10000000000007,14.542673733603326,679.4798611187933,24595.21484375
72.13999999999986,15.003656315980828,698.4728015794764,24381.458984375
73.17999999999965,15.471024214610575,717.8406167917516,24167.701171875
74.23999999999944,15.953831616643118,737.9705600477839,23949.828125
75.27999999999923,16.433721695688554,758.1083418587447,23736.064453125
76.35999999999902,16.938421798391033,779.4300950994715,23514.068359375
77.4399999999988,17.44945490894292,801.1794340406386,23292.0234375
78.4799999999986,17.957014757123428,822.9445321870814,23074.125
79.51999999999839,18.450871614002274,844.2847664777379,22864.466796875
80.57999999999818,18.969600095744127,866.8744687624223,22646.556640625
81.65999999999796,19.503711179463657,890.3219571321665,22424.501953125
82.73999999999775,20.043277589833945,914.2163577053399,22202.48046875
83.77999999999754,20.567873711133142,937.6499204141427,21988.638671875
84.85999999999733,21.117592768442,962.4294417230525,21766.60546875
85.89999999999712,21.651581169550074,986.7031133523004,21552.6953125
86.9799999999969,22.21064691262925,1012.3769728081982,21330.66015625
87.9999999999967,22.74270078547427,1037.0433828845337,21120.921875
89.05999999999649,23.29959128878673,1063.1138433227068,20902.9453125
90.07999999999629,23.839076093043435,1088.6274855285858,20693.216796875
91.09999999999609,24.381886277098094,1114.5656590353626,20483.515625
92.11999999999588,24.927795366719597,1140.9253621433827,20273.826171875
93.13999999999568,25.476572040865083,1167.7129752700255,20064.119140625
